boro,zipcode,cuisine_description,inspection_date,action,violation_code,violation_description,grade,inspection_type,latitude,longitude,council_district,census_tract,inspection_year,violations,vermin_types,critical_flags
Bronx,10451,American,2024-05-09,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",A,Cycle Inspection / Initial Inspection,40.826891734326,-73.926449987063,16,006300,2024,1,0,0
Bronx,10451,American,2024-05-09,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Initial Inspection,40.826891734326,-73.926449987063,16,006300,2024,1,0,0
Bronx,10451,American,2024-05-09,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Initial Inspection,40.826891734326,-73.926449987063,16,006300,2024,1,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,3,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,2,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,2,2,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,1,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,1,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,1,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,2,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,3,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,3,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,09B,Thawing procedure improper.,A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,1,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,4,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,1,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,21,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,3,0,0
Bronx,10451,American,2024-09-27,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",A,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,16,006300,2024,1,0,0
Bronx,10451,American,2024-10-18,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",A,Cycle Inspection / Initial Inspection,40.823235508315,-73.910642832531,17,014100,2024,1,0,0
Bronx,10451,American,2024-10-18,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.823235508315,-73.910642832531,17,014100,2024,1,0,0
Bronx,10451,American,2024-11-22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.827599121521,-73.925278459589,16,006300,2024,1,0,0
Bronx,10451,American,2025-01-27,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",A,Cycle Inspection / Re-inspection,40.819056613111,-73.928218180457,08,006300,2025,1,0,0
Bronx,10451,American,2025-01-27,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Re-inspection,40.819056613111,-73.928218180457,08,006300,2025,1,0,0
Bronx,10451,American,2025-01-27,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Re-inspection,40.819056613111,-73.928218180457,08,006300,2025,1,0,0
Bronx,10451,American,2025-02-14,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,A,Cycle Inspection / Initial Inspection,40.826054482451,-73.918176416007,16,017300,2025,1,0,0
Bronx,10451,American,2025-02-14,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,A,Cycle Inspection / Initial Inspection,40.826054482451,-73.918176416007,16,017300,2025,1,0,0
Bronx,10451,American,2025-02-14,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Initial Inspection,40.826054482451,-73.918176416007,16,017300,2025,1,0,0
Bronx,10451,American,2025-03-05,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",A,Cycle Inspection / Re-inspection,40.81773378028,-73.924155139519,17,006500,2025,1,0,0
Bronx,10451,American,2025-03-05,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Re-inspection,40.81773378028,-73.924155139519,17,006500,2025,1,0,0
Bronx,10451,American,2025-03-05,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",A,Cycle Inspection / Re-inspection,40.81773378028,-73.924155139519,17,006500,2025,1,0,0
Bronx,10451,American,2025-04-07,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,A,Cycle Inspection / Initial Inspection,40.827302041436,-73.924288726525,16,006300,2025,1,0,0
Bronx,10451,American,2025-04-07,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",A,Cycle Inspection / Initial Inspection,40.827302041436,-73.924288726525,16,006300,2025,1,0,0
